order_item_id,order_id,product_id,quantity,unit_price_gbp,unit_cost_gbp,discount_pct
1,10001,12,1,18.0,7.0,0.0
2,10001,1,1,850.0,610.0,0.2
3,10002,12,1,18.0,7.0,0.0
4,10003,2,2,250.0,175.0,0.05
5,10004,7,2,55.0,26.0,0.0
6,10005,1,1,850.0,610.0,0.0
7,10006,8,1,70.0,33.0,0.15
8,10007,8,3,70.0,33.0,0.05
9,10007,11,1,48.0,22.0,0.15
10,10007,6,1,195.0,112.0,0.15
11,10008,1,1,850.0,610.0,0.05
12,10009,7,1,55.0,26.0,0.05
13,10010,5,2,280.0,175.0,0.05
14,10011,10,1,35.0,15.0,0.0
15,10011,6,1,195.0,112.0,0.0
16,10012,2,1,250.0,175.0,0.05
17,10012,6,1,195.0,112.0,0.05
18,10013,9,1,85.0,43.0,0.1
19,10014,7,2,55.0,26.0,0.0
20,10015,12,1,18.0,7.0,0.15
21,10015,9,2,85.0,43.0,0.1
22,10015,11,1,48.0,22.0,0.1
23,10016,2,1,250.0,175.0,0.15
24,10017,12,1,18.0,7.0,0.0
25,10017,4,1,115.0,62.0,0.2
26,10017,11,2,48.0,22.0,0.0
27,10018,2,1,250.0,175.0,0.05
28,10018,10,1,35.0,15.0,0.2
29,10019,2,2,250.0,175.0,0.0
30,10020,7,1,55.0,26.0,0.0
31,10021,9,1,85.0,43.0,0.0
32,10021,11,2,48.0,22.0,0.1
33,10021,2,1,250.0,175.0,0.15
34,10022,10,1,35.0,15.0,0.0
35,10022,3,1,380.0,270.0,0.2
36,10023,1,1,850.0,610.0,0.1
37,10024,5,1,280.0,175.0,0.0
38,10024,8,3,70.0,33.0,0.05
39,10025,12,2,18.0,7.0,0.05
40,10026,7,2,55.0,26.0,0.0
41,10027,1,2,850.0,610.0,0.0
42,10027,11,3,48.0,22.0,0.1
43,10027,4,1,115.0,62.0,0.0
44,10028,6,2,195.0,112.0,0.1
45,10028,5,1,280.0,175.0,0.05
46,10029,6,1,195.0,112.0,0.15
47,10030,3,1,380.0,270.0,0.0
48,10030,6,1,195.0,112.0,0.0
49,10031,11,1,48.0,22.0,0.1
50,10032,12,2,18.0,7.0,0.15
51,10032,2,1,250.0,175.0,0.05
52,10032,1,2,850.0,610.0,0.05
53,10033,5,1,280.0,175.0,0.0
54,10034,1,1,850.0,610.0,0.15
55,10034,10,1,35.0,15.0,0.0
56,10035,9,1,85.0,43.0,0.05
57,10036,1,2,850.0,610.0,0.05
58,10036,11,1,48.0,22.0,0.05
59,10036,5,1,280.0,175.0,0.0
60,10037,5,2,280.0,175.0,0.05
61,10038,5,2,280.0,175.0,0.05
62,10039,9,2,85.0,43.0,0.05
63,10040,3,1,380.0,270.0,0.1
64,10041,6,1,195.0,112.0,0.0
65,10041,8,1,70.0,33.0,0.1
66,10042,7,1,55.0,26.0,0.0
67,10042,1,1,850.0,610.0,0.2
68,10043,7,2,55.0,26.0,0.0
69,10043,1,2,850.0,610.0,0.15
70,10043,11,2,48.0,22.0,0.2
71,10044,9,2,85.0,43.0,0.0
72,10045,6,1,195.0,112.0,0.0
73,10045,5,1,280.0,175.0,0.0
74,10046,4,1,115.0,62.0,0.0
75,10047,11,2,48.0,22.0,0.0
76,10048,11,1,48.0,22.0,0.0
77,10048,4,2,115.0,62.0,0.15
78,10048,9,2,85.0,43.0,0.15
79,10049,1,2,850.0,610.0,0.0
80,10050,2,1,250.0,175.0,0.0
81,10050,12,1,18.0,7.0,0.1
82,10050,11,3,48.0,22.0,0.0
83,10051,3,1,380.0,270.0,0.0
84,10051,1,3,850.0,610.0,0.0
85,10052,3,3,380.0,270.0,0.0
86,10053,4,1,115.0,62.0,0.1
87,10054,4,1,115.0,62.0,0.0
88,10054,3,2,380.0,270.0,0.0
89,10055,2,1,250.0,175.0,0.15
90,10055,9,1,85.0,43.0,0.15
91,10056,3,1,380.0,270.0,0.1
92,10056,7,1,55.0,26.0,0.05
93,10057,3,1,380.0,270.0,0.0
94,10058,10,2,35.0,15.0,0.15
95,10059,6,1,195.0,112.0,0.15
96,10060,3,1,380.0,270.0,0.05
97,10060,6,1,195.0,112.0,0.0
98,10060,4,1,115.0,62.0,0.0
99,10061,2,1,250.0,175.0,0.0
100,10061,1,1,850.0,610.0,0.15
101,10062,3,2,380.0,270.0,0.0
102,10063,1,2,850.0,610.0,0.1
103,10064,8,1,70.0,33.0,0.15
104,10065,6,1,195.0,112.0,0.0
105,10066,11,3,48.0,22.0,0.15
106,10067,9,1,85.0,43.0,0.1
107,10068,10,2,35.0,15.0,0.0
108,10068,7,1,55.0,26.0,0.05
109,10069,3,2,380.0,270.0,0.0
110,10070,11,1,48.0,22.0,0.0
111,10071,9,1,85.0,43.0,0.0
112,10072,9,1,85.0,43.0,0.05
113,10073,8,1,70.0,33.0,0.15
114,10074,5,1,280.0,175.0,0.05
115,10074,8,1,70.0,33.0,0.15
116,10074,9,2,85.0,43.0,0.05
117,10075,11,2,48.0,22.0,0.0
118,10075,6,1,195.0,112.0,0.05
119,10075,4,2,115.0,62.0,0.0
120,10076,12,1,18.0,7.0,0.1
121,10076,2,2,250.0,175.0,0.0
122,10077,8,2,70.0,33.0,0.05
123,10078,4,2,115.0,62.0,0.0
124,10079,8,1,70.0,33.0,0.1
125,10080,2,1,250.0,175.0,0.0
126,10081,2,1,250.0,175.0,0.1
127,10082,5,1,280.0,175.0,0.15
128,10083,7,1,55.0,26.0,0.0
129,10084,7,1,55.0,26.0,0.05
130,10085,5,1,280.0,175.0,0.0
131,10086,4,2,115.0,62.0,0.0
132,10087,3,2,380.0,270.0,0.0
133,10088,7,2,55.0,26.0,0.05
134,10089,1,1,850.0,610.0,0.1
135,10090,1,3,850.0,610.0,0.05
136,10091,1,1,850.0,610.0,0.0
137,10091,6,1,195.0,112.0,0.1
138,10091,4,1,115.0,62.0,0.0
139,10092,2,1,250.0,175.0,0.0
140,10092,7,1,55.0,26.0,0.0
141,10092,8,1,70.0,33.0,0.0
142,10093,2,1,250.0,175.0,0.0
143,10094,8,1,70.0,33.0,0.15
144,10094,7,1,55.0,26.0,0.05
145,10095,9,1,85.0,43.0,0.0
146,10096,9,1,85.0,43.0,0.0
147,10096,3,2,380.0,270.0,0.0
148,10097,12,1,18.0,7.0,0.1
149,10098,1,1,850.0,610.0,0.0
150,10099,10,2,35.0,15.0,0.0
151,10099,4,1,115.0,62.0,0.05
152,10100,10,1,35.0,15.0,0.05
153,10100,6,2,195.0,112.0,0.0
154,10101,8,1,70.0,33.0,0.05
155,10102,7,1,55.0,26.0,0.1
156,10103,2,1,250.0,175.0,0.05
